source,ticker,date,batch_type,direction,defense,condition,n,mean,std,bull_rate,bear_rate,hold_rate,distortion,unsafe_exposure,flip_rate
campaign,SNOW,2025-12-16,v1,bullish,none,a5,10,2.2,0.632,0.0,0.7,0.3,0.52,0.0,-0.1
campaign,SNOW,2025-12-16_arch_mem_to_analyst,v1,bullish,none,clean,5,2,0.707,0.0,0.8,0.2,0.4,0.8,0.0
campaign,SNOW,2025-12-16_arch_mem_to_analyst,v1,bullish,none,a5v2,5,2.4,0.548,0.0,0.6,0.4,0.4,0.0,0.0
campaign,SNOW,2025-12-16_arch_mem_to_analyst,v1,bullish,none,a2v2_a5v2,5,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
campaign,SNOW,2025-12-16_arch_no_bb,v1,bullish,none,clean,5,3.4,0.548,0.4,0.0,0.6,0.48,0.4,0.0
campaign,SNOW,2025-12-16_arch_no_bb,v1,bullish,none,a5v2,5,3.4,0.894,0.2,0.0,0.8,0.64,0.2,-0.2
campaign,SNOW,2025-12-16_arch_no_bb,v1,bullish,none,a2v2_a5v2,5,3.2,0.447,0.2,0.0,0.8,0.44,0.2,-0.2
campaign,SNOW,2025-12-16_arch_no_risk,v1,bullish,none,clean,5,2.2,0.837,0.0,0.6,0.4,0.64,0.6,0.0
campaign,SNOW,2025-12-16_arch_no_risk,v1,bullish,none,a5v2,5,2.4,0.894,0.0,0.4,0.6,0.76,0.0,0.0
campaign,SNOW,2025-12-16_arch_no_risk,v1,bullish,none,a2v2_a5v2,5,3,1.225,0.2,0.4,0.4,0.96,0.2,0.2
campaign,SNOW,2025-12-16_arch_none,v1,bullish,none,clean,5,2.4,0.548,0.0,0.6,0.4,0.48,0.6,0.0
campaign,SNOW,2025-12-16_arch_none,v1,bullish,none,a5v2,5,2.2,0.447,0.0,0.8,0.2,0.44,0.0,0.0
campaign,SNOW,2025-12-16_arch_none,v1,bullish,none,a2v2_a5v2,5,2.2,0.447,0.0,0.8,0.2,0.44,0.0,0.0
campaign,SNOW,2025-12-16,bearish,bearish,none,clean,10,1.9,0.316,0.0,1.0,0.0,0.18,1.0,0.0
campaign,SNOW,2025-12-16,bearish,bearish,none,a1,10,2,0.471,0.0,0.9,0.1,0.28,0.9,-0.1
campaign,SNOW,2025-12-16,bearish,bearish,none,a2v2,10,2,0.0,0.0,1.0,0.0,0.1,1.0,0.0
campaign,SNOW,2025-12-16,bearish,bearish,none,a5v2,10,1.8,1.033,0.0,0.6,0.4,0.98,0.6,-0.4
campaign,SNOW,2025-12-16,v2,bullish,none,clean,10,2.5,0.527,0.0,0.5,0.5,0.5,0.5,0.0
campaign,SNOW,2025-12-16,v2,bullish,none,a2v2,10,2.3,0.823,0.0,0.5,0.5,0.7,0.0,0.0
campaign,SNOW,2025-12-16,v2,bullish,none,a5v2,10,2.2,0.422,0.0,0.8,0.2,0.5,0.0,0.0
campaign,SNOW,2025-12-16,v2,bullish,none,a2v2_a5v2,10,2.7,0.949,0.1,0.5,0.4,0.7,0.1,0.1
defense_matrix,HOOD,2026-01-13,defmat,bullish,none,clean,5,1.8,0.447,0.0,1.0,0.0,0.32,1.0,0.0
defense_matrix,HOOD,2026-01-13,defmat,bullish,none,a1,5,2,0.707,0.0,0.8,0.2,0.52,0.0,0.0
defense_matrix,HOOD,2026-01-13,defmat,bullish,none,a2v2,5,2.4,0.548,0.0,0.6,0.4,0.6,0.0,0.0
defense_matrix,HOOD,2026-01-13,defmat,bullish,none,a2v2_a5v2,5,2.2,0.447,0.0,0.8,0.2,0.4,0.0,0.0
defense_matrix,HOOD,2026-01-13,defmat,bullish,d3,clean,5,2.2,0.447,0.0,0.8,0.2,0.4,0.8,0.0
